,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"C-STUDIOS FILE NAMING CONVENTIONS
File Naming: Name_Title_Year_Project_Added by

NOTE: project refers to specific CS project, only name if known.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,ASSET ,TITLE,NAME,YEAR,COPYRIGHT,PROJECT,ADDED,BY,FILE NAME ,NOTES,"
"
,,,Assata: An Autobiography,Assata Shakur,1999,,,07/05/2026,Rachel Jones,AssataShakur_Assata:AnAutobiography_1999_RJ,,
,,,"Black Aliveness, or A Poetics of Being (Black Outdoors: Innovations in the Poetics of Study)",Kevin Quashie,2021,,,07/05/2026,Rachel Jones,"KevinQuashie_BlackAliveness,orAPoeticsofBeing(BlackOutdoors:InnovationsinthePoeticsofStudy)_2021_RJ",,
,,,Go Tell it on the Mountain,James Baldwin,2001,,,07/05/2026,Rachel Jones,JamesBaldwin_GoTellItontheMountain_2001_RJ,,
,,,"Essential Essays, Volume 1: Foundations of Cultural Studies",Stuart Hall,2019,,,07/05/2026,Cynthia Igbokwe,"StuartHall_EssentialEssays,Volume1:FoundationsofCulturalStudies_2019_CI",,
,,,Black Style,Carol Tulloch,2004,,,07/05/2026,Cynthia Igbokwe,CarolTulloch_BlackStyle_2004_CI,,
,,,More Brilliant Than the Sun: Adventures in Sonic Fiction,Kodwo Eshun,1998,,,07/05/2026,Cynthia Igbokwe,KodwoEshun_MoreBrilliantThantheSun:AdventuresinSonicFiction_1998_CI,,
,,,Freeestyle: The Studio Museum in Harlem,Thelma Golden,2001,,,07/05/2026,Cynthia Igbokwe,ThelmaGolden_Freestyle:TheStudioMuseuminHarlem_2001_CI,,
,,,The Black Interior: Essays,Elizabeth Alexander,2004,,,07/05/2026,Rachel Jones,ElizabethAlexander_TheBlackInterior:Essays_2004_RJ,,
,,,Beloved,Toni Morrison,1987,,,07/05/2026,Cynthia Igbokwe,ToniMorrison_Beloved_1987_CI,,
,,,Maud Martha,Gwendolyn Brooks,1953,,,07/05/2026,Rachel Jones,GwendolynBrooks_MaudMartha_1953_RJ,,
,,,a tooth for a tooth,"Yusuf Hassan
Kwamé Omari",2022,,,07/05/2026,Cynthia Igbokwe,YusufHassan+KwaméOmari_atoothforatooth_2022_CI,,
,,,House of Music,Peter Doig,2026,,,07/05/2026,Cynthia Igbokwe,PeterDoig_PeterDoig:HouseofMusic_2026_CI,,
,,,The Care Manifesto: The Politics of Interdependence,The Care Collective,2020,,,07/05/2026,Cynthia Igbokwe,TheCareCollective_TheCareManifesto:ThePoliticsofInterdependence_2020_CI,,
,,,A Time for New Dreams,Grace Wales Bonner,2019,,,07/05/2026,Cynthia Igbokwe,GraceWalesBonner_ATimeforNewDreams_2019_CI,,
,,,Architecture and Land in and out of the Americas,Lucia Allais,2023,,,07/05/2026,Cynthia Igbokwe,LuciaAllais_ArchitectureandLandinandoutoftheAmericas_2023_CI,,
,,,"Dilla Time: The Life and Afterlife of J Dilla, the Hip-Hop Producer Who Invented Rhythm",Dan Charnas,2023,,,07/05/2026,Cynthia Igbokwe,"DanCharnas_DillaTime:TheLifeandAfterlifeofJDilla,theHip-HopProducerWhoInventedRhythm_2023_CI",,
,,,Design Anthropological Futures,"Rachel Charlotte Smith
Kasper Tang Vangkilde 
Mette Gislev Kjaersgaard
Ton Otto
Joachim Halse
Thomas Binder",2016,,,07/05/2026,Cynthia Igbokwe,RachelCharlotteSmith+KasperTangVangkilde+MetteGislevKjaersgaard+TonOtto+JoachimHalse+ThomasBinder_DesignAnthropologicalFutures_2016_CI,,
,,,"Creativity, Communication, and Cultural Value","Keith Negus
Michael Pickering",2004,,,07/05/2026,Cynthia Igbokwe,"KeithNegus+MichaelPickering_Creativity,Communication,andCulturalValue_2004_CI",,
,,,"Air Afrique Magazine, Volume #1",Air Afrique Magazine,2023,,,07/05/2026,Cynthia Igbokwe,"AirAfriqueMagazine_AirAfriqueMagazine,Volume1_2023_CI",,
,,,Art on My Mind: Visual Politics,Bell Hooks,1995,,,07/05/2026,Cynthia Igbokwe,BellHooks_ArtonMyMind:VisualPolitics_1995_CI,,
,,,"ÆFFECT: The Journals of Innovation Management, Issue #2:[Re]Shaping Concern",ÆFFECT: The Journals of Innovation Management,2019,,,07/05/2026,Cynthia Igbokwe,"ÆFFECT:TheJournalofInnovationManagement,Issue2:[Re]ShapingConcern_2019_CI",,
,,,Double Consciousness: Black Conceptual Art Since 1970,Valerie Cassel Oliver,2005,,,07/05/2026,Cynthia Igbokwe,ValerieCasselOliver_DoubleConsciousness:BlackConceptualArtSince1970_2005_CI,,
,,,Black Noise: Rap Music and Black Culture in Contemporary America,Tricia Rose,1994,,,07/05/2026,Cynthia Igbokwe,TriciaRose_BlackNoise:RapMusicandBlackCultureinContemporaryAmerica_1994_CI,,
,,,Hyperreality and Global Culture ,Nick Perry,1998,,,07/05/2026,Cynthia Igbokwe,NickPerry_HyperrealityandGlobalCulture_1998_CI,,
,,,Flyboy 2: The Greg Tate Reader ,Greg Tate,2016,,,07/05/2026,Cynthia Igbokwe,GregTate_Flyboy2:TheGregTateReader_2016_CI,,
,,,Cultural Studies 1983: A Theoretical History,Stuart Hall,2016,,,07/05/2026,Cynthia Igbokwe,StuartHall_CulturalStudies1983:ATheoreticalHistory_2016_CI,,
,,,Education for Critical Consciousness,Paulo Freire,2013,,,07/05/2026,Cynthia Igbokwe,PauloFreire_EducationforCriticalConsciousness_2013_CI,,
,,,Global Tools: When Education Coincides With Life,"Valerio Borgonuovo
Silvia Francheschini ",2019,,,07/05/2026,Cynthia Igbokwe,ValerioBorgonuovo+SilviaFrancheschini_GlobalTools:WhenEducationCoincidesWithLife_2019_CI,,
,,,The Art of the Long View: Planning for the Future in an Uncertain World,Peter Schwartz,1997,,,07/05/2026,Cynthia Igbokwe,PeterSchwartz_TheArtoftheLongView:PlanningfortheFutureinanUncertainWorld_1997_CI,,
,,,"Wayward Lives, Beautiful Experiments",Saidiya Hartman,2021,,,07/05/2026,Cynthia Igbokwe,"SaidiyaHartman_WaywardLives,BeautifulExperiments_2021_CI",,
,,,Blackass,A. Igoni Barrett,2015,,,07/05/2026,Cynthia Igbokwe,A.IgoniBarrett_Blackass_2015_CI,,
,,,Interaction of Color,"Josef Albers
Nicholas Fox Weber",2013,,,07/05/2026,Jess Young,JosefAlbers+NicholasFoxWeber_InteractionofColor_2013_JY,,
,,,Cultures and Globalization: The Cultural Economy (The Cultures and Globalization Series),"Helmut K. Anheier
Yudhishthir Raj Isar",2008,,,07/05/2026,Cynthia Igbokwe,HelmutK.Anheier+YudhishthirRajIsar_CulturesandGlobalization:TheCulturalEconomy(TheCulturesandGlobalizationSeries)_2008_CI,,
,,,Developing Citizen Designers,Elizabeth Resnick,2021,,,07/05/2026,Cynthia Igbokwe,ElizabethResnick_DevelopingCitizenDesigners_2021_CI,,
,,,Noah Davis,"Wells Fray-Smith
Paola Malavassi
Eleanor Nairne",2025,,,07/05/2026,Cynthia Igbokwe,WellsFray-Smith+PaolaMalavassi+EleanorNairne_NoahDavis_2025_CI,,
,,,Index,Iga Drobisz,2015,,,07/05/2026,Cynthia Igbokwe,IgaDrobisz_Index_2015_CI,,
,,,K-Punk: The Collected and Unpublished Writings of Mark Fisher,Mark Fisher,2018,,,07/05/2026,Cynthia Igbokwe,MarkFisher_K-Punk:TheCollectedandUnpublishedWritingsofMarkFisher_2018_CI,,
,,,Ludwig Mies van der Rohe,Arthur Drexler,1960,,,07/05/2026,Jess Young,ArthurDrexler_LudwigMiesvanderRohe_1960_JY,,
,,,Jacob Lawrence: American Painter,Ellen Harkins Wheat,1990,,,07/05/2026,Cynthia Igbokwe,EllenHarkinsWheat_JacobLawrence:AmericanPainter_1990_CI,,
,,,The Journey: New Positions in African Photography,"Simon Njami
Sean O'Toole",2020,,,07/05/2026,Cynthia Igbokwe,SimonNjami+SeanO'Toole_TheJourney:NewPositionsinAfricanPhotography_2020_CI,,
,,,Studio Olafur Eliason,"Olafur Eliason
Philip Ursprung",2012,,,07/05/2026,Cynthia Igbokwe,OlafurEliason+PhilipUrsprung_StudioOlafurEliason_2012_CI,,
,,,Mumbo Jumbo,Ishmael Reed,2017,,,07/05/2026,Cynthia Igbokwe,IshmaelReed_MumboJumbo_2017_CI,,
,,,Are You a Software Update?,"Wassim Z. Alsindi
Tega Brain
Sam Lavigne
Nora O'Murchú
Alex Quicho
Noura Tafeche
Alberto Toscano",2025,,,07/05/2026,Jess Young,WassimZ.Alsindi+TegaBrain+SamLavigne+NoraO'Murchú+AlexQuicho+NouraTafeche+AlbertoToscano_AreYouaSoftwareUpdate?_2025_JY,,
,,,Atmospheres,Peter Zumthor,2006,,,07/05/2026,Cynthia Igbokwe,PeterZumthor_Atmospheres_2006_CI,,
,,,i-D Magazine: The Darker Issue,"Arthur Jafa, et al. ",2021,,,07/05/2026,Cynthia Igbokwe,ArthurJafa_i-DMagazine:TheDarkerIssue_2021_CI,,
,,,CURA 44: The Generational Issue,"Margot Norton, et al. ",2025,,,07/05/2026,Cynthia Igbokwe,MargotNorton_Cura44:TheGenerationalIssue_2025_CI,,
,,,Lee Scratch Perry: Black Ark,"Andreas Koller
Lorenzo Bernet",2026,,,07/05/2026,Cynthia Igbokwe,AndreasKoller+LorenzoBernet_LeeScratchPerry:BlackArk_2026_CI,,
,,,I Will Keep You in Good Company,Liz Johnson Artur,2025,,,07/05/2026,Cynthia Igbokwe,LizJohnsonArtur_IWillKeepYouinGoodCompany_2025_CI,,
,,,FEB MAG - Issue No. 1,"Myriam Ben Salah, et al. ",2017,,,07/05/2026,Cynthia Igbokwe,MyriamBenSalah_FEBMAG-IssueNo.1_2017_CI,,
,,,Kerry James Marshall: The Histories,Kerry James Marshall,2025,,,07/05/2026,Cynthia Igbokwe,KerryJamesMarshall_KerryJamesMarshall:TheHistories_2025_CI,,
,,,Nuba Personal Art (Art and Society),James C. Faris ,1972,,,07/05/2026,Cynthia Igbokwe,JamesC.Faris_NubaPersonalArt(ArtandSociety)_1972_CI,,
,,,Rachel Jones: A Shorn Root,Sepake Angiama ,2024,,,07/05/2026,Cynthia Igbokwe,SepakeAngiama_RachelJones:AShornRoot_2024_CI,,
,,,Pedagogy of the Oppressed,Paulo Freire,1996,,,10/05/2026,Jess Young,PauloFreire_PedgagogyoftheOppressed_1996_JY,,
,,,Technofeudalism: What Killed Capitalism,Yanis Varoufakis,2023,,,10/05/2026,Jess Young,YanisVaroufakis_Technofeudalism:WhatKilledCapitalism_2023_JY,,
,,,Understanding Media: The Extension of Man,Marshall McLuhan,2001,,,10/05/2026,Jess Young,MarshallMcLuhan_UnderstandingMedia:TheExtensionofMan_2001_JY,,
,,,"Media Archaeology: Approaches, Applications, and Implications","Erkki Huhtamo 
Jussi Parikka",2011,,,10/05/2026,Jess Young,"ErkkiHuhtamo+JussiParikka_MediaArchaeology:Approaches,Applications,andImplications_2011_JY",,
,,,Cybernetic Serendipity: The ComputerandtheArts,Studio International,1968,,,10/05/2026,Jess Young,StudioInternational_CyberneticSerendipity:TheComputerandtheArts_1968_JY,,
,,,Semiotics and the Philosophy of Language,Umberto Eco,1986,,,10/05/2026,Jess Young,UmbertoEco_SemioticsandthePhilosophyofLanguage_1986_JY,,
,,,"Aktuelle Kunstin Osteuropa: Jugoslawien, Polen, Rumänien, Sowjetunion, Tschechoslowakien, Ungarn",Klaus Groh,1972,,,10/05/2026,Jess Young,"KlausGroh_AktuelleKunstinOsteuropa:Jugoslawien,Polen,Rumänien,Sowjetunion,Tschechoslowakien,Ungarn_1972_JY",,
,,,Play Matters (Playful Thinking),Miguel Sicart,2017,,,10/05/2026,Jess Young,MiguelSicart_PlayMatters(PlayfulThinking)_2017_JY,,
,,,The Architecture of Happiness,Alain de Botton,2007,,,10/05/2026,Jess Young,AlaindeBotton_TheArchitectureofHappiness_2007_JY,,
,,,Ficciones,Jorge Luis Borges,2012,,,10/05/2026,Jess Young,JorgeLuisBorges_Ficciones_2012_JY,,
,,,"""Twenty One Pleasures of Translating (and a Silver Lining)"" in Essays Two: On Proust, Translation, Foreign Languages, and the City of Arles",Lydia Davis,2021,,,10/05/2026,Jess Young,"LydiaDavis_""TwentyOnePleasuresofTranslating(andaSilverLining)""inEssaysTwo:OnProust,Translation,ForeignLanguages,andtheCityofArles_2021_JY",,
,,,Homo Ludens: A Study of the Play-Element in Culture,Johan Huizinga,2016,,,10/05/2026,Jess Young,JohnaHuizinga_HomoLudens:AStudyofthePlay-ElemetinCulture_2016_JY,,
,,,Visual Pleasure and Narrative Cinema,Laura Mulvey,1975,,,10/05/2026,Jess Young,LauraMulvey_VisualPleasureandNarrativeCinema_1975_JY,"Journal article, no cover image ",
,,,Towards a Philosophy of Photography,Vílem Flusser,2000,,,10/05/2026,Jess Young,VílemFlusser_TowardsaPhilosophyofPhotography_2000_JY,,
,,,Capitalist Realism: Is There No Alternative?,Mark Fisher,2012,,,10/05/2026,Jess Young,MarkFisher_CapitalistRealism:IsThereNoAlternative?_2012_JY,,
,,,Reconceptualizing Cultural Literacy as a Dialogic Practice,"Fiona Maine
Victoria Cook
Tuuli Lähdesmäki",2019,,,10/05/2026,Jess Young,FionaMaine+VictoriaCook+TuuliLähdesmäki_ReconceptualizingCulturalLiteracyasaDialogicPractice_2019_JY,"Journal article, no cover image ",
,,,Disordered Attention: How We Look at Art and Performance Today,Claire Bishop,2024,,,10/05/2026,Jess Young,ClaireBishop_DisorderedAttention:HowWeLookatArtandPerformanceToday_2024_JY,,
,,,On Photography,Susan Sontag,2008,,,10/05/2026,Jess Young,SusanSontag_OnPhotography_2008_JY,,
,,,Notes on Camp,Susan Sontag,2018,,,10/05/2026,Jess Young,SusanSontag_NotesonCamp_2018_JY,,
,,,Medium Design: Knowing How to Work on the World,Keller Easterling,2021,,,10/05/2026,Jess Young,KellerEasterling_MediumDesign:KnowingHowtoWorkontheWorld_2021_JY,,
,,,Critical Spatial Practice,Jane Rendell,2008,,,10/05/2026,Jess Young,JaneRendell_CriticalSpatialPractice_2008_JY,"Journal article, no cover image ",
,,,"A Cyborg Manifesto: Science, Technology, and Socialist-Feminism",Donna Haraway,1983,,,10/05/2026,Jess Young,"DonnaHaraway_ACyborgManifesto:Science,Technology,andSocialist-Feminism_1983_JY",,
,,,The Work of Art in the Age of Mechanical Reproduction,Walter Benjamin,2021,,,10/05/2026,Jess Young,WalterBenjamin_TheWorkofArtintheAgeofMechanicalReproduction_2021_JY,,
,,,The Story of Art ,E.H. Gombrich,2007,,,10/05/2026,Jess Young,E.H.Gombrich_TheStoryofArt_2007_JY,,
,,,The Field of Cultural Production: Essays on Art and Literature,Pierre Bordieu,1993,,,10/05/2026,Jess Young,PierreBordieu_TheFieldofCulturalProduction:EssaysonArtandLiterature_1993_JY,,
,,,The Culture Industry: Selected Essays on Mass Culture,"Theodor W. Adorno
J.M. Bernstein",1991,,,10/05/2026,Jess Young,ThedorW.Adorno+J.M.Bernstein_TheCultureIndustry:SelectedEssaysonMassCulture_1991_JY,,
,,,"""Cultural Studies: Two Paradigms"" in Media, Culture, and Society",Stuart Hall,1980,,,10/05/2026,Jess Young,"StuartHall_""CulturalStudies:TwoParadigms""inMedia,Culture,andSociety_1980_JY","Journal article, no cover image ",
,,,The Systems Model of Creativity: The Collected Works of Mihaly Csikszentmihalyi,Mihaly Csikszentmihalyi,2016,,,10/05/2026,Jess Young,Mihaly Csikszentmihalyi_TheSystemsModelofCreativity:TheCollectedWorksofMihalyCsikszentmihalyi_2016_JY,,
,,,Vision in Motion,Laszlo Moholy-Nagy,2014,,,10/05/2026,Jess Young,LaszloMoholy-Nagy_VisioninMotion_2014_JY,,
,,,Black Mountain College: Experiment in Art,"Vincent Katz
Martin Brody
Robert Creeley
Kevin Power",2013,,,10/05/2026,Jess Young,VincentKatz+MartinBrody+RobertCreeley+KevinPower_BlackMountainCollege:ExperimentinArt_2013_JY,,
,,,The Society of the Spectacle,Guy Debord,2002,,,10/05/2026,Jess Young,GuyDebord_TheSocietyoftheSpectacle_2002_JY,,
,,,Networking the Bloc: Experimental Art in Eastern Europe 1965 - 1981,Klara Kemp-Welch,2019,,,10/05/2026,Jess Young,KlaraKemp-Welch_NetworkingtheBloc:ExperimentalArtinEasternEurope1965-1981_2019_JY,,
,,,Principles of Archaeological Stratigraphy,Edward Harris,1989,,,10/05/2026,Jess Young,EdwardHarris_PrinciplesofArchaeologicalStratigraphy_1989_JY,,
,,,Fashion Army,Matthieu Nicol,2024,,,10/05/2026,Jess Young,MatthieuNicol_FashionArmy_2024_JY,,
,,,Unlicensed: Bootlegging as Creative Practice,Ben Schwartz,2023,,,10/05/2026,Jess Young,BenSchwartz_Unlicensed:BootleggingasCreativePractice_2023_JY,,
,,,Michael Clark: Cosmic Dancer,Florence Ostende,2020,,,10/05/2026,Jess Young,FlorenceOstende_MichaelClark:CosmicDancer_2020_JY,,
,,,Yoruba Proverbs,Oyekan Owomoyela,2008,,,12/05/2026,Cynthia Igbokwe,OyekanOwomoyela_YorubaProverbs_2008_CI,,
,,,New York Magazine's 2022 'Reasons to Love New York'  Issue,New York Magazine ,2022,,,12/05/2026,Cynthia Igbokwe,NewYorkMagazine_NewYorkMagazine's2022'ReasonstoLoveNewYork'Issue_2022_CI,,
,,,Darkwater: Voices from Within the Veil,W.E.B. Du Bois,1920,,,13/05/2026,Cynthia Igbokwe,W.E.B.DuBois_Darkwater:VoicesfromWithintheVeil_1920_CI,,
,,,Rhythms of the Afro-Atlantic World: Rituals and Remembrances,"Mamadou Diouf
Ifeoma Kiddoe",2010,,,21/05/2026,Cynthia Igbokwe,MamadouDiouf+IfeomaKiddoeNwankwo_RhythymsoftheAfro-AtlanticWorld:RitualsandRemembrances_2010_CI,,
,,,Flash of the Spirit: African & Afro-American Art & Philosophy,Robert Farris Thompson,1983,,,21/05/2026,Cynthia Igbokwe,RobertFarrisThompson_FlashoftheSpirit:African&Afro-AmericanArt&Philosophy_1983_CI,,
,,,Orientalism,Edward W. Said,1978,,,21/05/2026,Cynthia Igbokwe,EdwardW.Said_Orientalism_1978_CI,,
